A,B,C,D,E
VIA,DELLE FORZE ARMATE,99,6643,7
VIA,DELLE ROSE,44,6684,6
VIA,DELL' INNOMINATO,4,5414,5
VIA,DELL' ORSO,7,123,1
VIA,DELL' UNIONE,1,521,1
VIA,DELL' UNIONE,3,521,1
VIA,DE MARCHI EMILIO,45,1418,2
VIA,DE MARCHI EMILIO,5,1418,2
VIA,DE MARCHI EMILIO,64,1418,2
VIA,DE MARCHI GHERINI AMBROGIO,2,2503,2
VIA,DERNA,13,2376,2
VIA,DERNA,13,2376,2
VIA,DERNA,19,2376,2
VIA,DERNA,3,2376,2
VIA,DE RUGGIERO GUIDO,8,5442,5
VIA,DIOTTI BENEDETTO,45,6753,7
VIA,DOGANA,2,341,1
VIA,DOLCI CARLO,28,6555,7
VIA,DONATELLO,22,2214,3
VIA,DON BOSCO,31,4144,4
VIA,DONIZETTI GAETANO,3,3030,1
VIA,DURINI,16,313,1
VIA,EDOLO,28,1217,2
VIA,EDOLO,44,1217,2
VIA,ENNIO,32,4090,4
VIA,ERITREA,27,7454,8
VIA,ERODOTO,2,2352,2
VIA,EUSTACHI BARTOLOMEO,24,2165,3
VIA,EUSTACHI BARTOLOMEO,8,2165,3
VIA,FANTOLI GAUDENZIO,7,3355,4
VIA,FARA GUSTAVO,13,1183,9
VIA,FARA GUSTAVO,15,1183,9
VIA,FARA GUSTAVO,1,1183,9
VIA,FARA GUSTAVO,30,1183,2
VIA,FARA GUSTAVO,33,1183,9
VIA,FARINI CARLO,27,1114,9
VIA,FARINI CARLO,2,1114,9
VIA,FARINI CARLO,30,1114,9
VIA,FARINI CARLO,38,1114,9
VIA,FARINI CARLO,4,1114,9
VIA,FARINI CARLO,6,1114,9
VIA,FARINI CARLO,6,1114,9
VIA,FARINI CARLO,70,1114,9
VIA,FARINI CARLO,70,1114,9
VIA,FARINI CARLO,74,1114,9
VIA,PRINCIPE EUGENIO,12,7223,8
VIA,FARUFFINI FEDERICO,43,6286,7
VIA,FAUCHE' GIOVANNI BATTISTA,38,7192,8
VIA,FAUSTO MELOTTI,6,4389,4
